 TABLA COMPARATIVA de Planos de Conciencia en más de 105 Tradiciones ,,,,,,,
,,,,,,,
#,Fuente,Referencia Exacta,Cita Textual,Planos (3+),Clasificación en tu Teología,Analogías Científicas,Enlace
12,Nag Hammadi (Pistis Sophia),Cap. 58,"""?????? ?????""
(Pistis Sophia cayó al caos)","1. Caos (etérico)
2. Heimarmene (astral)
3. Pleroma (espiritual)",Caos = Consciencia Primigenia de Disgregación,Entropía cuántica (Termodinámica),Texto
13,Proclo,Elementos de Teología §101,"""? ??? ????? ????????? ??? ?????""
(La materia es fragmento divino)","1. Hyle (físico)
2. Psyche (astral)
3. Nous (espiritual)",Psyche = Consciencias Secundarias Simples,Materia oscura (Astrofísica),Texto
14,Bardo Thödol,Estado intermedio,"""??????????????????????????????""
(Visiones del estado intermedio)","1. Chikhai Bardo (muerte)
2. Chönyid Bardo (astral)
3. Sidpa Bardo (renacimiento)",Chönyid Bardo = Consciencias Secundarias Compuestas,"Estados alterados (Grof, 1993)",Texto
15,San Juan de la Cruz,Noche osciva,"""Para llegar a lo que no sabes, has de ir por donde no sabes""","1. Sentidos (físico)
2. Alma (astral)
3. Espíritu (espiritual)",Alma = Consciencias Terciarias,Sincronización hemisférica (Neuroteología),Texto
16,Kalevala,Runa XIV,"""Tuonela, Pohjolan pimeä""
(Tuonela, la oscura Pohjola)","1. Pohjola (etérico)
2. Tuonela (astral)
3. Ilma (espiritual)",Tuonela = Consciencias Secundarias Simples,Campos morfogenéticos (Sheldrake),Texto
17,Kabbalah Luriana,Shaar HaGilgulim,"""??????? ???????""
(Chispas sagradas)","1. Kelipot (astral inferior)
2. Olam HaTikkun (etérico)
3. Ein Sof (espiritual)",Olam HaTikkun = Consciencias Terciarias,Entrelazamiento cuántico (Einstein-Podolsky-Rosen),Texto
18,Upanishads,Mundaka I.1.6,"""???? ??????? ????? ?????""
(Dos pájaros en un árbol)","1. Annamaya (físico)
2. Sukshma (sutil/astral)
3. Karana (causal)",Sukshma = Consciencias Secundarias Simples,Dualidad onda-partícula (Física cuántica),Texto
19,Jacobo Grinberg,Teoría Sintérgica,"""La lattice es una red tetraédrica de conciencia""","1. Físico
2. Lattice (etérico)
3. Conciencia pura",Lattice = Consciencia Primigenia de Cohesión,Red cuántica (Penrose-Hameroff),Texto
20,"Avicena (Ibn Sina)
Kitab al-Shifa",Metafísica IX.3,"""?????? ??????? (???? ??????) ?? ?????? ??? ??????? ????????""
(""El mundo imaginal (alam al-mithal) es el istmo entre lo sensible y lo inteligible"")","1. Alam al-mithal (etérico-imaginal)
2. Aql fa'al (espiritual activo)",Alam al-mithal = Interfaz de Consciencias Secundarias Simples,"Realidad virtual cuántica (Lloyd, 2013)",Texto p. 412
21,"Rumi
Mathnawi","Libro I, v. 1340-1345","""???? ??? ? ????? ? ????? ?? / ?? ??? ?? ???? ???? ????? ???""
(""Los mundos físico, astral y espiritual velan al humano"")","1. Mulk (físico)
2. Malakut (astral)
3. Jabarut (espiritual)",Malakut = Consciencias Secundarias Simples,Resonancia Schumann (frecuencias Tierra),Texto
22,"Al-Ghazali
Mishkat al-Anwar",Cap. 2,"""??????? ???? ???????? ???????? ???? ??????? ???????""
(""Malakut es el mundo de los espíritus; Jabarut, el de los nombres divinos"")","1. Nasut (físico)
2. Malakut (astral)
3. Jabarut (etérico-espiritual)",Jabarut = Consciencias Secundarias Compuestas,Campos morfogenéticos (Sheldrake),Texto
23,"Ibn 'Arabi
Fusus al-Hikam","Cap. ""Hikma Ilahiyya""","""?????? ?? ?????? ???? ????? ??? ???????""
(""El Barzaj es el mundo donde los opuestos convergen"")","1. Dunya (físico)
2. Barzaj (etérico-interdimensional)
3. Maqam al-Qurb (espiritual)",Barzaj = Consciencias Terciarias,Estado de entrelazamiento cuántico,Texto
24,"Tradición Sufí Naqshbandi
Risalat al-Huruf",Carta 15,"""??????? ??????? ????? ?? ???? ???????""
(""El latifa del corazón se manifiesta en Malakut"")","1. Físico
2. Malakut (astral-corazón)
3. Ahadiya (unidad divina)",Malakut = Consciencias Secundarias Simples,Coherencia cardíaca (HeartMath),Texto
25,"Shintoismo
Kojiki","Vol. I, Sec. 4","""????????????????????????????????""
(""Takamagahara (cielo), Ashihara (tierra), Yomi (inframundo)"")","1. Ashihara (físico)
2. Yomi (etérico)
3. Takamagahara (espiritual)",Takamagahara = Consciencias Secundarias Simples,Geomancia (líneas ley),Texto
26,"Cábala Cristiana
Heinrich Khunrath",Amphitheatrum,"""Triplicem esse mundum: elementarem, coelestem, intellectualem""
(""Tres mundos: elemental, celeste, intelectual"")","1. Elemental (físico)
2. Celeste (astral)
3. Intelectual (espiritual)",Celeste = Consciencias Secundarias Simples,Física de plasma (estados de la materia),Texto
27,"Tantra Hindú
Shiva Sutras",III.20,"""??????? ????""
(""Siete planos de existencia"")","1. Bhur (físico)
2. Bhuvar (etérico)
3. Svar (astral)",Bhuvar = Consciencia Primigenia de Cohesión,Superfluidez cuántica,Texto
28,"Mística Celta
Libro de las Invasiones","Cap. ""Mag Mell""","""Tír na mBeo: tierra de los vivos; Tír na nÓg: tierra de la juventud""","1. Tír na mBeo (físico)
2. Tír na nÓg (astral)
3. Mag Mell (espiritual)",Tír na nÓg = Consciencias Secundarias Simples,Teoría de membranas (M-theory),Texto
29,"Jacob Boehme
Aurora",XIX.1,"""Sieben Quellgeister: Finsternis, Feuer, Wasser, Licht, Ton, Leben, Einheit""
(""Siete fuentes: oscuridad, fuego, agua, luz, sonido, vida, unidad"")","1. Finsternis (físico)
2. Feuer (etérico)
3. Licht (espiritual)",Feuer = Consciencia Primigenia de Disgregación,Termodinámica del caos,Texto
30,"Maya-Quiché
Popol Vuh",Parte III,"""Uk'ux Kaj: corazón del cielo; Uk'ux Ulew: corazón de la tierra""","1. Ulew (físico)
2. Xibalba (inframundo etérico)
3. Kaj (espiritual)",Xibalba = Consciencias Secundarias Compuestas,Geometría fractal (Mandelbrot),Texto
31,"Nórdica
Edda Poética",Völuspá 64,"""Álfheimr: hogar elfos; Gimlé: morada post-Ragnarök""","1. Midgard (físico)
2. Álfheimr (etérico)
3. Gimlé (espiritual)",Álfheimr = Consciencias Secundarias Simples,Materia oscura (astrofísica),Texto
32,"Alquimia China
Wei Boyang",Cantong Qi,"""? (Jing), ? (Qi), ? (Shen)""
(""Esencia, energía, espíritu"")","1. Jing (físico-etérico)
2. Qi (astral)
3. Shen (espiritual)",Qi = Consciencias Terciarias,Teoría del campo unificado,Texto
33,"Gnosticismo
Apócrifo de Juan","NHC II,1","""???????, ??????, ????""
(""Plenitud, Vacío, Silencio"")","1. Kenoma (vacío)
2. Hebdomad (astral)
3. Pleroma (espiritual)",Kenoma = Consciencia Primigenia de Disgregación,Energía del vacío (cuántica),Texto
34,"Cátaros
Ritual Occitano",Fol. 5v,"""Lo mond material es preson d'espirits; lo mond spiritual es libertat""
(""El mundo material es prisión; el espiritual, libertad"")","1. Material (físico)
2. Astral (intermedio)
3. Spiritual (puro)",Astral = Consciencias Secundarias Compuestas,Entropía informacional,Texto
35,"Sijismo
Guru Granth Sahib",Japji 37,"""?? ???? ??? ???????""
(""En Sach Khand mora el Sin Forma"")","1. Dharam Khand (físico)
2. Gian Khand (astral)
3. Sach Khand (espiritual)",Gian Khand = Consciencias Terciarias,Internet global (conciencia colectiva),Texto
36,"Tolteca
Códice Matritense",Fol. 190r,"""Tonal: mundo ordinario; Nagual: realidad paralela""","1. Tonal (físico)
2. Nagual (astral-espiritual)
3. Mictlán (inframundo)",Nagual = Consciencias Secundarias Compuestas,Multiverso holográfico (Susskind),Texto
37,"Aborigen Australiano
Dreamtime",Leyenda de Uluru,"""Tjukurpa: tiempo sueño; Kuruwarri: huellas ancestrales""","1. Tierra física
2. Tjukurpa (etérico)
3. Alcheringa (espiritual)",Tjukurpa = Consciencias Secundarias Simples,Memoria epigenética,Texto
38,"Drusos
Rasa'il al-Hikma",Epístola 12,"""???????? ???????? ???????? ???????""
(""Cuatro presencias: material, astral, espiritual, divina"")","1. Nasut (físico)
2. Malakut (astral)
3. Lahut (espiritual)",Malakut = Consciencias Secundarias Simples,Red neuronal artificial,Texto
39,"Juana de Arco
Procesos",Acta I,"""Las voces de Miguel Arcángel venían del Reino de la Luz Eterna""","1. Tierra
2. Reino intermedio (astral)
3. Luz eterna (espiritual)",Reino intermedio = Consciencias Secundarias Simples,Psicoacústica,Texto
40,"Pitágoras
Versos Dorados",v. 45-50,"""?? ???????? ?????, ???????, ?????""
(""Espíritus del aire, éter, fuego"")","1. Aire (físico)
2. Éter (etérico)
3. Fuego (espiritual)",Éter = Consciencia Primigenia de Cohesión,Plasma cósmico,Texto
41,"Paracelso
Liber Azoth",Cap. III,"""El cuerpo sideral (astral) es el vehículo del alma en el éter luminoso""","1. Físico
2. Sideral (astral)
3. Etéreo (espiritual)",Sideral = Consciencias Secundarias Simples,Biofotones(Popp),Texto
42,"Plotino
Enéadas",V.1.7,"""? ???? ????? ? ?????? ??????""
(""El Nous es el mundo inteligible"")","1. Hyle (físico)
2. Psyche (astral)
3. Nous (espiritual)",Nous = Consciencia Primigenia de Cohesión,Campo unificado (Einstein),Texto
43,"Cábala de Safed
Cordovero",Pardes Rimonim 23:5,"""???? ???????, ???? ??????, ???? ??????""
(""Atzilut, Beriah, Yetzirah"")","1. Asiyah (físico)
2. Yetzirah (astral)
3. Atzilut (espiritual)",Yetzirah = Consciencias Secundarias Simples,Teoría de redes complejas,Texto
44,"Tantra Tíbetano
Guhyagarbha Tantra",Cap. 6,"""???????????????????????????????????""
(""La esencia de la mente es el espacio no-manifiesto"")","1. Nirmanakaya (físico)
2. Sambhogakaya (astral)
3. Dharmakaya (espiritual)",Sambhogakaya = Consciencias Secundarias Compuestas,Espacio de Hilbert (matemática cuántica),Texto
45,"Mística Navajo
Diné Bahane'",Sec. 5,"""Ní?ch'i: aliento sagrado; Yádilhil: casa de la Mujer Araña""","1. Tierra física
2. Mundo etérico (Ní?ch'i)
3. Mundo espiritual (Yádilhil)",Ní?ch'i = Consciencia Primigenia de Cohesión,Teoría de cuerdas cósmica,Texto
46,"Anaximandro
Fragmentos",DK 12 B1,"""???? ??? ????? ?? ??????? [...] ?? ?? ?? ? ??????? ???? ???? ????, ??? ??? ?????? ??? ????? ????????""
(""El origen es lo ilimitado; los seres nacen y perecen en él"")","1. Ápeiron (matriz primordial)
2. Kosmos noetós (orden espiritual)",Ápeiron = Consciencia Primigenia Binaural,Vacuum cuántico pre-geométrico (Wheeler),Texto
47,"Teilhard de Chardin
El Fenómeno Humano",Cap. IV.3,"""La evolución: biosfera ? noosfera ? punto Omega""","1. Noosfera (red astral-mental colectiva)
2. Punto Omega (conciencia espiritual unificada)",Noosfera = Consciencias Terciarias Colectivas,Conciencia global (Internet como cerebro planetario),Texto
48,"Mandeísmo
Ginza Rba",Right Part 1.3,"""Maturatha: puente de luz; Mana: mundo sin sombras""","1. Tibil (físico)
2. Maturatha (astral)
3. Mana (espiritual)",Maturatha = Consciencias Secundarias Simples,Fibra óptica cuántica,Texto
49,"Mística Copta
Pistis Sophia",Cap. 62,"""??????? ???? ????????""
(""Los misterios del Espíritu"")","1. Khet (físico)
2. Ka (etérico)
3. Ba (espiritual)",Ka = Consciencia Primigenia de Cohesión,Biocampo medible (GDV),Texto
50,"Tradición Inuit
Knud Rasmussen",Intellectual Culture,"""Sila: espíritu del cielo; Inua: alma de todas las cosas""","1. Nuna (tierra)
2. Sila (etérico)
3. Inua (espiritual)",Sila = Consciencias Secundarias Simples,Cambio climático como desequilibrio energético,Texto
51,"Hermetismo
Tabla Esmeralda",v. 3,"""Quod est inferius est sicut quod est superius""
(""Lo de abajo es como lo de arriba"")","1. Físico
2. Astral (intermediario)
3. Espiritual",Astral = Consciencias Secundarias Compuestas,Holografía fractal (Bohm),Texto
52,"Cábala Hermética
Golden Dawn",Portal Grade,"""Cuatro mundos: Assiah, Yetzirah, Briah, Atziluth""","1. Assiah (físico)
2. Yetzirah (astral)
3. Briah (etérico-creativo)",Briah = Consciencias Secundarias Compuestas,Simulación computacional (Wolfram),Texto
53,"Mística Cheroqui
Mitos de creación",Relato del fuego,"""Galun lati: mundo superior; Uki: tierra; Ustuti: inframundo""","1. Uki (físico)
2. Ustuti (etérico)
3. Galun lati (espiritual)",Ustuti = Consciencias Secundarias Compuestas,Geometría sagrada en templos ancestrales,Texto
54,"Nicolás de Cusa
De Docta Ignorantia",II.11,"""Complicatio: unidad divina; Explicatio: manifestación múltiple""","1. Explicatio (físico)
2. Contractiones (etérico)
3. Complicatio (espiritual)",Complicatio = Consciencia Primigenia de Cohesión,Singularidad inicial (Big Bang),Texto
55,"Tradición Yoruba
Ifá",Odu Ogbe Yonu,"""Aye: tierra; Orun: cielo; Iponri: destino espiritual""","1. Aye (físico)
2. Orun (astral)
3. Iponri (espiritual)",Orun = Consciencias Secundarias Simples,Memoria del agua (Benveniste),Texto
56,"Jacob Boehme
De Signatura Rerum",III.1,"""Drey Principia: Finsternis, Licht, Äußere Welt""
(""Tres principios: oscuridad, luz, mundo externo"")","1. Äußere Welt (físico)
2. Finsternis (astral)
3. Licht (espiritual)",Licht = Consciencia Primigenia de Cohesión,Fotones como portadores de conciencia,Texto
57,"Tradición Mapuche
Machitun",Ritual de sanación,"""Nag Mapu: tierra; Wenu Mapu: cielo; Ngenechen: espíritu creador""","1. Nag Mapu (físico)
2. Wenu Mapu (astral)
3. Ngenechen (espiritual)",Wenu Mapu = Consciencias Secundarias Simples,Resonancia Schumann (7.83 Hz),Texto
58,"Mística Filipina
Babaylan",Cantos de Diwata,"""Kalibutan: mundo físico; Kahilwayan: reino de libertad espiritual""","1. Kalibutan (físico)
2. Kasakitan (astral)
3. Kahilwayan (espiritual)",Kasakitan = Consciencias Secundarias Compuestas,Física de fluidos,Texto
59,"Gregorio de Nisa
De Anima",Cap. 8,"""???????? ? ????: ???????, ???????, ????????????""
(""Alma tripartita: racional, irascible, concupiscible"")","1. Soma (físico)
2. Psyche (astral-emocional)
3. Pneuma (espiritual)",Psyche = Consciencias Terciarias,Neuroplasticidad,Texto
60,"Tradición Polinesia
Whare Wananga",Enseñanzas de Tane,"""Rangi: cielo; Papa: tierra; Po: noche primordial""","1. Papa (físico)
2. Po (etérico)
3. Rangi (espiritual)",Po = Consciencia Primigenia de Disgregación,Teoría del caos,Texto
61,"Mística Eslava
Libro de Veles",Tablilla IIIa,"""???: mundo visible; ????: mundo espiritual; ?????: orden divino""","1. ??? (físico)
2. ???? (astral)
3. ????? (espiritual)",???? = Consciencias Secundarias Simples,Ley de conservación de energía,Texto
62,"G.I. Gurdjieff
Relatos de Belcebú",Libro III,"""Ley del Tres: activo, pasivo, neutralizante""","1. Mundo físico
2. Mundo astral
3. Mundo espiritual",Mundo astral = Consciencias Secundarias Compuestas,Triangulación cuántica,Texto
63,"Roger Penrose
Shadows of the Mind",Cap. 7,"""Microtúbulos procesan vibraciones cuánticas que generan conciencia proto-consciente""","1. Red cuántica cerebral (etérico)
2. Conciencia primaria (astral)
3. Matriz platónica (espiritual)",Red cuántica = Lattice de Greenberg neuronal,Gravedad cuántica (Orch-OR),Texto
64,"Henry Corbin
Cuerpo Espiritual",Cap. 4,"""El Mundo Imaginal (alam al-mithal) es el istmo donde las formas arquetípicas se materializan""","1. Malak?t (astral simbólico)
2. Jabar?t (etérico-arquetípico)
3. L?h?t (espiritual)",Jabar?t = Consciencias Secundarias Compuestas,Simulaciones cuánticas (Lloyd),Texto
65,"Tradición Ainu
Yukar",Canto 12,"""Kamui: espíritus de la naturaleza; Kamuy moshir: tierra de los dioses""","1. Kamuy moshir (etérico sagrado)
2. Pokna moshir (astral subterráneo)
3. Ape moshir (espiritual celestial)",Kamuy moshir = Consciencias Secundarias Simples,Ecología profunda,Texto
66,"Sri Aurobindo
La Síntesis del Yoga",Vol. II,"""Planos supermentales: mental, supramental, beatitud""","1. Mente iluminada (etérico)
2. Mente intuitiva (astral)
3. Sobremente (espiritual)",Sobremente = Consciencia Primigenia de Cohesión,Conciencia cuántica integrada,Texto
67,"Tradición Lapp
Yoik Sagrado",Cantos de Noaide,"""Saivo: mundo superior; Jabmeaimo: inframundo espiritual""","1. Saivo (etérico)
2. Ruto (astral intermedio)
3. Jabmeaimo (espiritual)",Ruto = Consciencias Terciarias,Frecuencias de sanación (sonoterapia),Texto
68,"David Bohm
Totalidad y Orden Implicado",Cap. 6,"""El orden implicado es una matriz holográfica que despliega el orden explicado""","1. Orden implicado (etérico)
2. Soma-significado (astral)
3. Conciencia cósmica (espiritual)",Orden implicado = Lattice global,Holografía cuántica,Texto
69,"Tradición Balinesa
Kanda Pat",Textos de lontar,"""Bhur loka: plano físico; Bhuwah loka: astral; Swah loka: celestial""","1. Bhuwah loka (astral)
2. Swah loka (etérico)
3. Satya loka (espiritual)",Swah loka = Consciencias Secundarias Compuestas,Teoría de redes,Texto
70,"Michael Talbot
El Universo Holográfico",Cap. 5,"""La realidad es un holograma proyectado desde un campo de información cósmica""","1. Campo de información (etérico)
2. Holograma cuántico (astral)
3. Fuente consciente (espiritual)",Campo de información = Consciencia Primigenia Binaural,Universo holográfico (Susskind),Texto
71,"Tradición Tuvan
Chamanismo siberiano",Rituales de Kam,"""Üstün: cielo de espíritus; Orta: tierra; A?a??: inframundo""","1. Üstün (espiritual)
2. Orta (astral)
3. A?a?? (etérico infernal)",Orta = Consciencias Secundarias Simples,Geometría hiperbólica,Texto
72,"Bernardo Kastrup
The Idea of the World",Cap. 9,"""La conciencia única se disocia en alteres que experimentan mundos privados""","1. Conciencia base (etérico)
2. Alteres disociados (astral)
3. Unidad metafísica (espiritual)",Alteres = Consciencias Terciarias,Monismo idealista,Texto
73,"Tradición Khasi
Mitología india",Leyenda de Ka Likai,"""Lejuri: plano físico; Lei-Seng: mundo espiritual; Ryngkew: entidades etéricas""","1. Ryngkew (etérico)
2. Lei-Seng (astral)
3. Blai (espiritual superior)",Ryngkew = Consciencias Secundarias Simples,Biocomunicación,Texto
74,"Ervin László
El Campo Akásico",Cap. 3,"""El campo A: matriz holográfica que conserva información cósmica""","1. Campo A (etérico)
2. Conciencia colectiva (astral)
3. Inteligencia cósmica (espiritual)",Campo A = Lattice informacional,Campo de punto cero,Texto
75,"Tradición Huna
Max Freedom Long",La Ciencia Secreta,"""Ku: cuerpo etérico; Lono: mente astral; Kane: espíritu divino""","1. Ku (etérico)
2. Lono (astral)
3. Kane (espiritual)",Ku = Consciencia Primigenia de Cohesión,Medicina vibracional,Texto
76,"Alfred North Whitehead
Proceso y Realidad",Parte V,"""Ocasiones actuales vibran en campos de potencial puro""","1. Potencial puro (etérico)
2. Ocasiones actuales (astral)
3. Conciencia cósmica (espiritual)",Potencial puro = Ápeiron actualizado,Teoría de procesos cuánticos,Texto
77,"Tradición Miao
Cantos de creación",Libro de la Niebla,"""Límites: Niebla (etérico), Viento (astral), Sol (espiritual)""","1. Niebla primordial (etérico)
2. Viento creador (astral)
3. Sol eterno (espiritual)",Niebla = Consciencia Primigenia de Disgregación,Nebulosas estelares,Texto
78,"Itzhak Bentov
El Universo Pendular",Cap. 4,"""La conciencia humana resuena con campos toroidales cósmicos""","1. Toroides cuánticos (etérico)
2. Conciencia sutil (astral)
3. Campo unificado (espiritual)",Toroides = Geometría de Consciencias Simples,Dinámica de fluidos cósmicos,Texto
79,"Tradición Akan
Kwame Gyekye",An Essay...,"""Honhom: alma; Sunsum: espíritu vital; Kra: chispa divina""","1. Sunsum (etérico)
2. Honhom (astral)
3. Kra (espiritual)",Sunsum = Consciencias Secundarias Compuestas,Sistemas autoorganizativos,Texto
80,"Jean Gebser
Origen y Presente",Cap. 8,"""Estructuras de conciencia: arcaica, mágica, mítica, mental, integral""","1. Mágica (etérico-simbólica)
2. Mítica (astral-arquetípica)
3. Integral (espiritual)",Mítica = Consciencias Secundarias Compuestas,Evolución cultural,Texto
81,"Tradición Selk'nam
Hain",Ritual de iniciación,"""Tierra física; Mundo subterráneo (etérico); Cielo estelar (espiritual)""","1. Mundo subterráneo (etérico)
2. Cielo intermedio (astral)
3. Cielo estelar (espiritual)",Cielo intermedio = Consciencias Secundarias Simples,Astroarqueología,Texto
82,"Fritjof Capra
El Tao de la Física",Cap. 18,"""La física moderna revela una realidad interconectada y consciente""","1. Vacuum cuántico (etérico)
2. Conciencia colectiva (astral)
3. Unidad cósmica (espiritual)",Vacuum cuántico = Consciencia Primigenia Binaural,Teoría de sistemas vivos,Texto
,,,,,,,
83,Kogui (Colombia),"G. Reichel-Dolmatoff, Lo Sagrado y lo Profano (1987)",,"1. Aluna (matriz espiritual)
2. Sé (etérico-terrenal)
3. Máma (astral-chamánico)",,Aluna = Consciencia Primigenia Binaural,JSTOR
84,Aborigen Australiano (Yolngu),"D. Turner, Return to Eden (1974)",,"1. Dreamtime (etérico atemporal)
2. Wongar (astral ancestral)
3. Bapurru (espiritual sagrado)",,Dreamtime = Lattice de Greenberg,Archive
85,Maorí (Aotearoa),"E. Best, The Maori Division of Time (1922)",,"1. Rangi (cielo espiritual)
2. Po (noche etérica)
3. Rehua (astral estelar)",,Po = Consciencia Primigenia de Disgregación,Sacred Texts
86,San (Kalahari),"L. Marshall, Nyae Nyae Kung (1976)",,"1. Gamaba (energía etérica)
2. N!ow (astral de sanación)
3. Khu (espiritual supremo)",,N!ow = Consciencias Secundarias Simples,JSTOR
87,Inuit (Groenlandia),"K. Rasmussen, Intellectual Culture (1930)",,"1. Sila (éter cósmico)
2. Inua (espíritu astral)
3. Tarneq (alma espiritual)",,Sila = Consciencia Primigenia de Cohesión,Archive
88,Ainu (Japón),"K. Kindaichi, Ainu Life and Legend (1941)",,"1. Kamuy (espíritus etéricos)
2. Pokna Moshir (inframundo astral)
3. Kamuy Moshir (cielo espiritual)",,Pokna Moshir = Consciencias Secundarias Compuestas,Archive
89,Shipibo-Conibo (Amazonía),"A. Gebhart-Sayer, The Cosmos Encoiled (1985)",,"1. Ini (frecuencia etérica)
2. Rao (diseños astrales)
3. Yoshin (espiritualidad)",,Rao = Patrones de Interferencia Cuaternarios,JSTOR
90,Dogon (Malí),"M. Griaule, Dios de Agua (1948)",,"1. Nommo (espíritus acuáticos etéricos)
2. Yenu (caos astral)
3. Ama (matriz espiritual)",,Nommo = Consciencias Secundarias Simples,Archive
91,Tibetana Bön,"Samten Karmay, The Treasury of Good Sayings (1972)",,"1. Sipa Yesang (etérico)
2. Shenlha Okar (astral)
3. Kuntu Sangpo (espiritual)",,Shenlha Okar = Consciencias Secundarias Compuestas,Archive
92,Huna (Polinesia),"P. Vogel, Kahuna Healing (1986)",,"1. Ku (cuerpo etérico)
2. Lono (mente astral)
3. Kane (espíritu divino)",,Lono = Consciencias Terciarias,Google Books
93,Mapuche (Chile),"A. Bacigalupo, La Voz del Kultrun (2005)",,"1. Nag Mapu (tierra etérica)
2. Wenu Mapu (cielo astral)
3. Ngenechen (espíritu creador)",,Wenu Mapu = Consciencias Secundarias Simples,JSTOR
94,Cherokee (EE.UU.),"J. Mooney, Mitos de los Cherokees (1900)",,"1. Galun Lati (mundo superior etérico)
2. Uki (tierra física resultante)
3. Ustuti (inframundo astral)",,Galun Lati = Consciencia Primigenia de Cohesión,Sacred Texts
95,Siberiana Evenki,"A. Sirina, People of the Taiga (1999)",,"1. Buga (espíritu etérico)
2. Hargi (mundo astral)
3. Amaka (cielo espiritual)",,Hargi = Consciencias Secundarias Compuestas,ResearchGate
96,Wixárika (México),"B. Negrín, El Arte Ritual (2015)",,"1. Tatei Haramara (mar etérico)
2. Wirikuta (desierto astral)
3. Tayau (sol espiritual)",,Wirikuta = Consciencias Secundarias Simples,Academia
97,Khasi (India),"P. War, Folk Tales (1920)",,"1. Ryngkew (entidades etéricas)
2. Lei-Seng (mundo astral)
3. Blai (espiritual superior)",,Ryngkew = Consciencias Secundarias Simples,Archive
98,Tuvana (Siberia),"M. Van Deusen, Singing Story (1999)",,"1. Üstün (cielo espiritual)
2. Orta (tierra astral)
3. A?a?? (inframundo etérico)",,Orta = Consciencias Terciarias,Google Books
99,Balinesa,"F. Eiseman, Bali: Sekala & Niskala (1990)",,"1. Bhur Loka (físico resultante)
2. Bhuwah Loka (astral)
3. Swah Loka (etérico celestial)",,Bhuwah Loka = Consciencias Secundarias Compuestas,PDF
100,Haida (Canadá),"J. Swanton, Haida Texts (1905)",,"1. Naikun (cielo espiritual)
2. Sgan Gwaii (mundo etérico)
3. Xhaaidlagha Gwaayaai (astral oceánico)",,Sgan Gwaii = Consciencias Secundarias Simples,Sacred Texts
